ticker,cik
MCVT,0001425355
GBR,0000105744
IMCC,0001792030
GMAY,None
UFO,None
ZH,0001835724
SPGM,0001168164
QIS,None
ENTR,None
EEMV,0001100663
HDV,0001100663
HRB,0000012659
ALVR,0001754068
NOBL,0001174610
NXN,0000885731
CNOBP,0000712771
NHTC,0000912061
TRHC,0001651561
GABpH,0000794685
CQQQ,0001378872
CVGI,0001290900
FEEM,0001491978
SPR,0001364885
DD,0001666700
OXLCN,0001495222
III,0001371489
SDPI,0001600422
CKX,0000352955
COO,0000711404
PGHY,0001378872
CGXU,0001870130
RILYG,0001464790
RNP,0001224450
FBT,0001329377
LANV,0001922097
RPID,0001380106
MSM,0001003078
PLTL,0001572661
VCR,0000052848
VIGL,0001827087
IMRX,0001790340
SDEM,0001432353
CTS,0000026058
ZM,0001585521
NTZ,0000900391
LANV.WS,0001922097
SDOG,0001414040
JIRE,0001485894
HBANM,0000049196
ITRN,0001337117
CONL,0001689873
GABpG,0000794685
IFIN,0001862935
APRT,None
RFpC,0001281761
AEIS,0000927003
WRAP,0001702924
FLFV,0001912582
GNK,0001326200
PDI,0001510599
DFSE,0001816125
KTH,0001283464
UCIB,0001114446
STN,0001131383
EAOK,0001100663
API,0001802883
EQS,0000878932
PBLA,0001029125
PAHC,0001069899
SPD,0001810747
SBCF,0000730708
INFI,None
BSJS,0001657201
GGTpG,0000921671
MOB,0001898643
FIVE,0001177609
RPT,0000842183
PCYO,0000276720
ALCO,0000003545
PABU,0001100663
AVGR,0001506928
AMZN,0001018724
FTHI,0001552740
KPLTW,0001785424
BETZ,0001776878
AMBO,0001494558
NRUC,0000070502
ALIM,0001267602
BJK,0001137360
REVBW,0001810560
GLYC,0001253689
BYNO,0001801417
IBRN,0001100663
ROBO,0001452937
ATR,0000896622
FBL,0001689873
MG,0001436126
AEVA.WS,0001789029
TIPT,0001393726
CLB,0001958086
UTI,0001261654
RLTY,0001866874
EDF,0001501103
LFTpA,0001547546
BRKH,0001871638
FAD,0001383496
IGA,0001332943
CHAA,0001838293
TpC,0000732717
JGGCW,0001857518
NORW,0001432353
LSPD,0001823306
NACP,None
PBHC,0001609065
AROC,0001389050
MARZ,0001776878
BLDR,0001316835
AREC,0001590715
GSpC,0000886982
SCHQ,0001454889
DNN,0001063259
LSDI,0001865127
OTEX,0001002638
IWR,0000930667
CTBI,0000350852
BSTZ,0001768666
MINV,None
BBN,0001493683
TOP,0001848275
NOVVW,0001858028
AXTI,0001051627
WINA,0000908315
IXJ,0001100663
DTW,0000936340
ARBB,0001930179
BAX,0000010456
UNCY,0001766140
SPCZ,0001683471
PALI,0001357459
VBNK,0001690639
PCK,0001170300
FOSLL,0000883569
CPHC,0001672909
HYGW,0001100663
GTACW,0001848821
PLAB,0000810136
OPFI,0001818502
KEN,0001611005
ADBE,0000796343
BYTSW,0001842566
GAM,0000040417
AGMpC,0000845877
CEVA,0001173489
CHH,0001046311
FWD,None
FISI,0000862831
IDCC,0001405495
BDC,0000913142
ENR,0001632790
EMHY,0000930667
GDVpH,0001260729
MDT,0001613103
DSKE,0001642453
HTLD,0000799233
DH,0001861795
LU,0001816007
XITK,0001064642
RESP,0001350487
BHFAM,0001685040
FLFVW,0001912582
RVYL,0001419275
STXS,0001289340
NAUT,0001808805
HON,0000773840
NLSP,0001783036
BAM,0001937926
GTIM,0000825324
TPR,0001116132
C,0000831001
BBSB,0001485894
ALLE,0001579241
TBI,0000768899
HSTM,0001095565
AYRO,0001086745
WINT,0000946486
ANEB,0001815974
ICHR,0001652535
KACL,0001865468
TENB,0001660280
SRDX,0000924717
CLINW,0001883984
OZ,0001807046
OILD,0000927971
SWAG,0001872525
EPHE,0000930667
PRA,0001127703
ESGY,0001481714
TMHC,0001562476
XTN,0001064642
IDNA,0001100663
IVVM,None
HTLFP,0000920112
UTRN,0001452937
OGIG,0001414040
HOFVW,0001708176
FSRX,0001834336
RQI,0001157842
BBP,0001559109
RUNN,None
ROMO,None
UAVS,0000008504
IVRA,0001418144
SERA,0001534969
PTHRW,0001930021
SBXC.U,0001859686
AMN,0001142750
CSLMR,0001875493
EBLU,None
RLI,0000084246
DC,0001852353
BMR,0001899005
NRGU,0000927971
BRCC,0001891101
IDMO,0001378872
DCPpC,0001338065
LVTX,0001840748
BASE,0001845022
SALM,0001050606
CHT,0001132924
SIEN,0001551693
HLX,0000866829
ROVR,0001826018
HYTR,None
DELL,0001571996
FAUG,0001667919
ATHpA,0001527469
ESOA,0001357971
ESG,0001491978
SEPZ,0001776878
MINT,0001450011
IMSI,0001599511
ARKOW,0001823794
FUBO,0001484769
NOVZ,0001776878
GWH.WS,0001819438
POST,0001530950
IDXX,0000874716
VTES,None
PXE,0001209466
HPLTW,0001863181
JVAL,0001485894
NGE,0001432353
AZTA,0000933974
AVY,0000008818
EXPO,0000851520
CRON,0001656472
NTRA,0001604821
HYMCW,0001718405
DRLL,None
ACBAW,0001844389
HUDAU,0001853047
SNOW,0001640147
VMCAU,0001892747
VXRT,0000072444
CETU,0001936702
ISCB,0000051548
DMTK,0001651944
MTNB,0001582554
NHC,0001047335
MRM,0001819704
AFARU,0001901886
PLAG,0001117057
DFS,0001393612
REVB,0001810560
NUBIW,0001881551
MNSB,0001693577
TSME,None
LSBK,0001341318
NFYS.U,0001850502
NCPLW,0001414767
DM,0001754820
MART,None
BXRX,0001780097
PAYC,0001590955
SHG,0001263043
AGMpG,0000845877
HYLB,0001503123
SOCL,0001432353
SLAC,0001834755
RDW.WS,0001819810
PDBA,0001595386
CITE,0001848437
AREN,0000894871
ZSB,None
QBTS,0001907982
BWX,0001064642
CDAQU,0001851909
KEYpJ,0000091576
FITB,0000035527
CHKEZ,0000895126
MT,0001243429
GDLpC,0001378701
BNRE,0001837429
PALL,0001459862
BLEUR,0001843370
MFEM,None
MTW,0000061986
EFZ,0001174610
FYT,0001383496
LAUR,0000912766
KDP,0001418135
NMG,0001649752
HOLOW,0001841209
TPHS,0000724742
GSIG,None
IVCAW,0001852889
EIPX,0001517936
RESD,None
WLK,0001262823
MCLDP,0001756499
ACNB,0000715579
POCT,0001415726
RHCB,None
FVC,0001552740
DAX,0001432353
KODK,0000031235
YANG,0001424958
RZB,0000898174
FpC,0000037996
BREA,0001939965
WFG,0001402388
EZPW,0000876523
CHIE,0001432353
APCA,0001862993
LIBYU,0001880151
BLOK,0001633061
DGRW,0001350487
EAPR,0001415726
SQM,0000909037
MOHR,None
ADIV,None
NUSA,0001635073
HDLB,0001114446
RITMpD,0001556593
VAPO,0001253176
SACH,0001682220
MGC,None
OARK,None
BURU,0001814215
FMAG,0000945908
EGHT,0001023731
PRT,0001724009
TIPZ,0001450011
ALGS,0001799448
BCD,None
KEYS,0001601046
STG,0001723935
ZENV,0001836934
SKGRU,0001912461
BOWNU,0001973056
DUO,0001750593
PVI,0001696209
OCTZ,0001776878
FLOW,None
EFNL,0001100663
SREA,0001032208
STRCW,0001826681
PTWOW,0001930313
GDSTW,0001858007
PEGA,0001013857
EHI,0001228509
HRI,0001364479
XPOF,0001802156
TDSA,0001547950
BIPH,0001788348
VCLN,None
UDEC,0001415726
NRGV,0001828536
VV,0000036405
BANX,0001578987
GTLS,0000892553
LNCpD,0000059558
INFN,0001138639
PLUS,0001022408
VTRU,0001805012
RAIL,0001320854
IGLB,0001100663
IPVF,0001839610
WRND,0001415995
AEMD,0000882291
CLRC,0001903392
MICS,0000923601
BWG,0001504545
EU,0001500881
DBEM,0001503123
SYRS,0001556263
ITOT,0001100663
VDE,0000052848
VIDI,0001540305
DFAS,0001816125
METpA,0001099219
MO,0000764180
EBIX,0000814549
SVAL,0001100663
AYI,0001144215
VEEV,0001393052
RETA,0001358762
CHDN,0000020212
GLNG,0001207179
AMPX,0001899287
ACBA,0001844389
TWEB,None
SSNT,0001236275
ROP,0000882835
QLVD,0001491978
BKEM,None
SFIX,0001576942
AVTE,0001798749
ELF,0001600033
HLNE,0001433642
GLDB,None
DMBS,None
DHCAU,0001838163
SOHON,0001301236
BNIXR,0001845942
PMD,0000806517
BLEUU,0001843370
DECA,0001913577
ADNT,0001670541
SJM,0000091419
DWMC,0001408970
CDC,0001547580
GNL,0001526113
SCSC,0000918965
JPMB,0001485894
JHAA,0001753217
STAG,0001479094
LSST,None
TG,0000850429
CREX,0001356093
ONYXW,0001849548
EVE,0001861121
PACI,0001853070
AMAO,0001843656
MLGO,0001800392
RWX,0001168164
BEATW,0001779372
PCAR,0000075362
TFII,0001588823
KEMQ,0001547576
BSIG,0001748824
RGP,0001084765
LGVN,0001721484
NURE,0001635073
CWT,0001035201
BINC,None
CONXU,0001823000
SDC,0001775625
LICY,0001828811
GOODN,0001234006
HRTG,0001598665
ACTG,0000934549
AJX,0001614806
ASG,0000786035
EMIF,0001100663
FLTW,0001655589
RSPD,None
DOLE,0001857475
DHY,0001061353
ITM,0001137360
AFBI,0001823406
CIRC,0001485894
DPRO,0001786286
APCX,0001070050
QQEW,0001125816
NRDS,0001625278
FCNCP,None
CLMT,0001340122
PTEC,None
GRF,0000850027
DHIL,0000909108
PUMP,0001680247
CSTM,0001563411
DOOR,0000893691
FRST,0001325670
MNTX,0001302028
VSS,0000857489
CTM,0001877939
THD,0000930667
OAKpB,0001403528
MIRO,0001527096
PCOR,0001611052
LASE,0001807887
ESGA,0001481714
LKOR,0001491978
CGW,0001378872
IQV,0001478242
EVG,0001287498
ESEA,0001341170
IBCP,0000039311
FONR,0000355019
MHLA,0001412100
PNF,0001140410
PW,0001532619
JBL,0000898293
RFpB,0001281761
TMDX,0001756262
GTBP,0000109657
NVOS,0001138978
TLGYU,0001879814
NSTG,0001401708
VFL,0000895574
LFST,0001845257
HSY,0000047111
HAE,0000313143
DO,0000949039
LBPH,0001832168
EMCG,0001869601
JAZZ,0001232524
CIFRW,0001819989
HQH,0000805267
LGVCW,0001879297
ATMVU,0001937891
SNDR,0001692063
WRBpF,0000011544
AON,0000315293
BGH,0001521404
DAUG,0001667919
KLXE,0001738827
TKNO,0001850902
EVRG,0001711269
TSM,0001046179
KB,0001445930
AMST,0001807166
RRAC,0001860879
WTER,0001532390
TLSA,0001723069
BN,0001001085
KF,0000748691
EDN,0001395213
DWM,0001350487
ASHX,0001503123
SIXH,0001452937
NVDA,0001045810
EZM,0000880631
WH,0001722684
HUBG,0000940942
HAYW,0001834622
SBIGW,None
EMD,0001227862
ELBM,0001907184
GHM,0000716314
FUMB,None
OCUL,0001393434
SSSSL,0001509470
ELWS,0001944399
BAH,0001443646
RUSHB,0001012019
WSO.B,0000105016
ATLO,0001132651
HIPO.WS,0001828105
AR,0001433270
BRLIR,0001787518
MTH,0000833079
VYGR,0001640266
GIPRW,0001651721
FGIWW,0001864943
SCD,0001270131
CXDO,0001075736
JSPR,0001788028
TOK,0001100663
DOUG,0001878897
LAC,0001440972
IONQ,0001824920
MKC,0000063754
WKHS,0001425287
HEPA,0001583771
APGB,0001838337
GPRO,0001500435
DKDCA,0001849380
VNSE,None
SNOA,0001367083
THG,0000944695
BOWL,0001840572
CHGG,0001364954
DSTL,0001753220
GJAN,0001667919
AMS,0000744825
XBB,None
AAICpC,0001209028
HLLY,0001822928
FJUL,0001667919
NVAC,0001859807
TRT,0000732026
RWAY,0001653384
DMAC,0001401040
ERSX,None
GRFX,0001816723
GSUN,0001826376
AOSL,0001387467
RCUS,0001724521
STRT,0000933034
VLGEA,0000103595
EGBN,0001050441
UFPT,0000914156
SDVD,None
CNDT,0001677703
HLI,0001302215
CVU,0000889348
PIRS,0001583648
TSLY,None
EPV,0001174610
FLQL,0001655589
OBLG,0000746210
MBAC.WS,0001839175
IBDY,None
QDRO,0001825962
EDOG,0001414040
PPYAW,0001894057
GBLI,0001494904
CIA,0000024090
LFCR,0001005286
ODP,0000800240
MIMO,0001823882
TFPM,0001829726
BODY.WS,0001826889
URE,0001174610
WWJD,0001644419
AAME,0000008177
IEX,0000832101
HTAB,0001501825
ASAI,0001834048
AACG,0001420529
BIPpA,0001406234
SCWX,0001468666
PSMR,0001616668
PFLT,0001504619
FFTI,0001644419
GHC,0000104889
PFO,0000882071
BOAC,0001818089
FGEN,0000921299
ATAKU,0001883788
HCWB,0001828673
SJT,0000319655
INZY,0001693011
EVTV,0001563568
TTGT,0001293282
VACC,0001828185
SVM,0001340677
AZUL,0001432364
BNTX,0001776985
GFAIW,0001804469
PSTV,0001095981
LNW,0000750004
LGH,None
ED,0001047862
ZLSWW,None
LIVE,0001045742
TNK,0001419945
BTWNU,0001815086
MPRAW,0001853436
DFLI,0001847986
ANZUU,0001840877
LCW.U,0001847577
NXRT,0001620393
XBI,0001064642
SPGC,0001934245
CLSK,0000827876
AFRM,0001820953
MAA,0000912595
AEZS,0001113423
BCX,0001506289
MTLS,0001091223
QTOC,0001415726
ATMU,0001921963
ARMR,0001547950
PSN,0000275880
HWC,0000750577
JAVA,0001485894
MYTE,0001831907
AIV,0000922864
HUBCW,0001905660
NBO,0001178841
UPW,0001174610
FRD,0000039092
BRT,0000014846
NVEE,0001532961
CUK,0001125259
FTCH,0001740915
LZB,0000057131
RCG,0000919567
AIP,0001667011
SEALpA,0001308106
ZIONO,0000109380
PPBI,0001028918
HTBK,0001053352
ERNA,0000748592
XDSQ,0001415726
EARN,0001560672
NMM,0001415921
LIPO,0001347242
MHF,0000830487
OPRT,0001538716
TCBI,0001077428
FCN,0000887936
VTS,0001944558
ST,0001477294
BKU,0001504008
OMER,0001285819
DSGR,0000703604
GLOPpC,0001598655
MDU,0000067716
HOUR,0001874875
IMCR,0001671927
MOBV,0001931691
FRAF,0000723646
PROC,0001863362
RF,0001281761
LTHM,0001742924
JMHI,None
KFYP,0001547576
WIW,0001267902
HOVNP,0000357294
DLNGpB,0001578453
AVSE,0001481714
RAYD,None
COSM,0001474167
FTFT,0001066923
DAR,0000916540
AQB,0001603978
BKES,None
IDOG,0001414040
KLR,0001719489
JGH,0001615905
SASI,0000788611
QDIV,0001432353
FLNT,0001460329
WD,0001497770
OLP,0000712770
AMUB,0001114446
IXP,0001100663
ASR,0001123452
IWO,0001100663
NEOVW,0001748137
SCRD,0001500604
CENTA,0000887733
SXC,0001514705
USCI,0001479247
NINE,0001532286
TIXT,0001825155
MAX,0001818383
YELP,0001345016
DMAQ,0001857086
HKND,None
ASPN,0001145986
FCEL,0000886128
INFY,0001067491
ATMCR,0001889106
PREF,0001572661
JPME,0001485894
OCCIN,0001716951
QTEC,0001329377
UYM,0000810972
FSMD,0000945908
DSAQ,0001871745
PLUG,0001093691
SVV,0001883313
APA,0001841666
FKWL,0000722572
HBNC,0000706129
LITM,0001769697
GAA,0001529390
WEL.U,0001877557
MKTX,0001278021
PFIE,0001289636
KREF,0001631596
ARGO,0001091748
ZKIN,0001687451
NVDL,0001689873
IMFL,0001657201
CRVS,0001626971
RWJ,0001696209
LVOX,0001723648
PBFS,0001769663
ICAD,0000749660
CLPT,0001285550
DBA,0001383082
SHYL,0001503123
BWAQ,0001878074
WBX.WS,0001866501
JEPQ,0001485894
SUPV,0001517399
RILYT,0001464790
PWB,0001209466
PLMI,0001840317
XWEB,0001064642
DBI,0001319947
SHUAU,0001886268
FEP,0001510337
SUB,0001100663
SNDL,0001766600
BHIL.WS,0001830210
BHP,0000811809
GSHD,0001726978
CCTSU,0001865861
SKYT,0001819974
ATOM,0001420520
GDST,0001858007
TINT,0001174610
LCF,None
DFSV,0001816125
NGS,0001084991
MGA,0000749098
SBpD,0001434754
XLF,0000093751
DALT,0001552947
AUSF,0001432353
TYD,0001424958
EWU,0001100663
WFH,None
UWMC.WS,0001783398
CNMD,0000816956
KARS,0001547576
IDLV,0001378872
CYCCP,0001130166
MXC,0000066418
JSCP,0001485894
DIEM,0001655589
TDVI,None
ALORU,0001883962
TARK,None
BB,0001070235
RITMpA,0001556593
CYAN,0000768408
IONR,0001896084
WTS,0000795403
NPO,0001164863
APPF,0001433195
GRBKpA,0001373670
GLSTR,0001922331
SENEB,0000088948
AMAOW,0001843656
BGT,0001287480
SPMD,0001064642
CCLDP,0001582982
MLN,0001137360
TLYS,0001524025
DFIC,0001816125
BFAM,0001437578
WBIG,None
BBAR,0000913059
VNRX,0000093314
PSECpA,0001287032
PLOW,0001287213
CTCXW,0001842939
ISDB,0001599511
CQP,0001383650
BIVI,0001580149
NISN,0001603993
TMFG,None
QNCX,0001662774
EBIZ,0001432353
SPHQ,0001209466
AVTR,0001722482
AQN,0001174169
SPLG,0001064642
GJO,0001340909
JCI,0000833444
UPLD,0001505155
ITT,0000216228
BPMC,0001597264
ELME,0000104894
BMRA,0000073290
FXU,0001125816
OLB,0001314196
BHAC,0001851612
TUR,0000893818
ETB,0001308927
MYSZ,0001211805
SMLR,0001554859
RETL,None
NE.WS,0001895262
HEAT,None
VSSYW,0001701963
VLN.WS,0001863006
SIG,0000832988
CLOZ,None
NKTR,0000906709
SPEU,0001168164
MACAW,0001835416
MFIN,0001000209
PLTNR,0001929231
FLNC,0001868941
MZZ,0001174610
RFV,0001209466
SONDW,0001819395
IWTR,0001100663
MFH,0001527762
UNH,0000731766
ROG,0000084748
TCBIO,0001077428
ESRT,0001541401
EFCpB,0001411342
SST.WS,0001805833
SPXC,0000088205
UBS,0001610520
GENY,0001572661
USCTW,0001860514
ACAC,0001914023
WINV,0001854463
ACDC,0001881487
PGRO,None
ARMK,0001584509
EFSCP,0001025835
SON,0000091767
IBND,0001064642
MINDP,0000926423
CMSA,0000811156
KMI,0001506307
SCHA,0001454889
HNI,0000048287
SHO,0001295810
INTT,0001036262
VFC,0000103379
PCGpD,0001004980
SAMG,0001549966
CYH,0001108109
WCEO,0001552947
HBT,0000775215
EAOA,0001100663
PLNT,0001637207
SOHU,0001734107
PRGS,0000876167
ALGT,0001362468
GORO,0001160791
BNO,0001472494
AUGX,0001769804
ARTE,0001839990
CSLMU,0001875493
USVM,0001547580
NDIV,0001633061
FQAL,0000945908
CLSC,0001547950
ARKF,0001697748
KURA,0001422143
FIW,None
ANIX,0000715446
MEAR,0001100663
XBJL,0001415726
RA,0001655099
PSFD,0001616668
MUFG,0000067088
ANZU,0001840877
MKSI,0001049502
PRFT,0001085869
RILYK,0001464790
AAMC,0001555074
SWTX,0001773427
MMU,0000886043
FI,0000798354
CNSL,0001304421
CFRX,0001478069
GMBLP,0001451448
ACGLO,0000947484
TETE,0001900679
BLRX,0001498403
AEG,0000769218
STE,0001757898
FSCO,0001568194
FLSW,0001655589
IHAK,0001100663
CADEpA,0001299939
XJR,0001100663
SHAG,None
MSSAU,0001882464
VMAR,0001813783
DEIF,0001644419
FEMY,0001339005
CHW,0001396277
AURA,0001501796
CONXW,0001823000
GSST,0001479026
TRVI,0001563880
MMSC,0001667919
BUFB,0001415726
XGN,0001274737
LDI,0001831631
HUDI,0001791725
MSSAR,0001882464
DSI,0001100663
ARCH,0001037676
PEGRU,0001847241
VIAV,0000912093
ILIT,None
FMNY,0001424212
MAN,0000871763
NUGO,0001635073
KBWR,0001378872
CHAU,None
IIM,0000885601
CETF,None
TDSpV,0001051512
JFR,0001276533
DKDCW,0001849380
EOT,0001454741
TLSIW,0001826667
BDTX,0001701541
GMAR,0001667919
AIA,0001100663
ARRY,0001820721
ADNWW,0001744494
JRSH,0001696558
OSI.U,0001832136
BKH,0001130464
ACABW,0001893219
PSApL,0001393311
KWE,0001889823
TIME,None
NUZE,0001527613
APLS,0001492422
FXCOR,None
ORGNW,0001802457
HAL,0000045012
PFTA,0001853580
QRMI,None
ASPI,0001921865
CMREpC,0001503584
HSII,0001066605
BON,0001816815
VEEE,0001855509
STRRP,0000707388
AUGZ,0001776878
SONM,0001178697
CNNE,0001704720
LNZA,0001843724
EBND,0001064642
DIA,0001041130
TPCS,0001328792
STLV,0001100663
CJET,0001957413
SEMI,0001551950
MITT,0001514281
CETX,0001435064
SABR,0001597033
MMLP,0001176334
SCEpJ,0000092103
BIGT,0001683471
BOKF,0000875357
SFYF,None
SMMV,0001100663
OILU,0000927971
DIVS,None
GDIV,None
CCD,0001602584
FXCOW,None
QLD,0000810972
OHAAU,0001870778
EXTR,0001078271
BERZ,0000927971
HTHT,0001483994
UNTY,0000920427
CNFR,0001502292
EWUS,0001100663
SONN,0001106838
PLM,0000866028
ACST,0001444192
GOEV,0001750153
MSSAW,0001882464
DOCT,0001667919
GATO,0001517006
FLGT,0001674930
NNN,0000751364
KOIN,0001452937
FITE,0001064642
RLMD,0001553643
WNC,0000879526
HOFV,0001708176
USM,0000821130
XBIO,0001534525
VMOT,None
GPAC,0001831979
SCHB,0001454889
OCN,0000873860
PPYA,0001894057
SOXX,0001100663
OSTK,0001130713
DTIL,0001357874
SQFT,0001080657
KIND,0001846069
NWPX,0001001385
GPK,0001408075
RLJpA,0001511337
GERM,None
AMJ,0000019617
EVGN,0001574565
FTXR,0001552740
PNNT,0001383414
BMI,0000009092
PACI.U,0001853070
WAVSU,0001868419
RDY,0001135951
KIO,0001515940
CDLX,0001666071
POWI,0000833640
VHI,0000059255
CELGr,0000014272
QYLG,0001432353
FSV,0001637810
GOVZ,0001100663
CPSH,0000814676
FWONA,0001560385
RCON,0001442620
AIF,0001526697
EVE.U,0001861121
XHYT,None
HWELU,0001845013
JMSI,None
EZFL,0001817004
FREY,0001844224
SMLE,0001503123
SFpB,0000720672
LEXI,0001776878
SYTAW,0001649009
ACRE,0001529377
DIVY,None
CID,0001547580
GOL,0001291733
WTM,0000776867
EBS,0001367644
JDST,None
TURN,0000893739
XSLV,0001378872
FAM,0001302624
IMTX,0001809196
SDIV,0001432353
GSMGW,0001738758
TRTY,0001529390
BNE,0001539639
SAVE,0001498710
ETWO.WS,0001800347
PBAXU,0001870404
NSYS,0000722313
NOC,0001133421
QTJA,0001415726
BTMWW,None
HLpB,0000719413
ARW,0000007536
NAAS,0001712178
ISRLU,0001915328
SPXV,0001174610
BXMT,0001061630
MEGI,0001855066
SSTI,0001351636
AMTI,0001801777
BZUN,0001625414
SCEpG,0000092103
VGI,0001528811
ENLV,0001596812
NYCBpU,0000910073
GCBC,0001070524
NBDS,None
RFACW,0001847607
LTBR,0001084554
XEL,0000072903
GLRY,0001644419
ENSV,0000319458
ET,0001276187
OOTO,None
UAMY,0000101538
ATIP,0001815849
FTNT,0001262039
ESE,0000866706
NGMS,0001821349
BACpM,0000070858
AULT,0000896493
VEON,0001468091
APVO,0001671584
CVM,0000725363
ZBZX,None
DRS,0001833756
CATO,0000018255
STIP,0001100663
PRE,0001876431
HYPR,0001833769
IYT,0001100663
DLTH,0001649744
USAC,0001522727
SATO,0001696209
WBX,0001866501
PEGY,0000022701
ALYA,0001734520
MMAT,0001431959
MITTpA,0001514281
SBFM,0001402328
GNSS,0000924383
SNAL,0001886894
IWC,0001100663
SKF,0001174610
IBHH,0001100663
SFE,0000086115
BBLGW,0001419554
ECL,0000031462
FSZ,0001510337
CNGLW,0001867443
JBLU,0001158463
MBI,0000814585
GIB,0001061574
AAIN,0001209028
DAPP,0001137360
PMVP,0001699382
MTRYW,0001860663
GLOB,0001557860
CARZ,0001383496
XRMI,None
MUA,0000901243
TBLAW,0001840502
AIBBR,0001882963
ERAS,0001761918
PSCI,0001378872
KUKE,0001809158
ULH,0001308208
BOCN,0001856961
CSQ,0001275214
INCR,0001857030
WRAC,0001855168
LPTX,0001509745
MRKR,0001094038
NVIV,0001292519
PCH,0001338749
FINV,0001691445
ASET,0001491978
PUK,0001116578
LILAK,0001712184
MYGN,0000899923
GPACU,0001831979
BOOT,0001610250
TPST,0001544227
HUYA,0001728190
SPSM,0001064642
MIXT,0001576914
RMBI,0001767837
MBINO,0001629019
IVOV,None
UUP,0001383151
HUSV,0001424212
CBZ,0000944148
BSJQ,0001657201
PEPG,0001835597
ENIC,0001659939
EPRpE,0001045450
SWKS,0000004127
IQLT,0001100663
SMMF,0000811808
MAV,0001258943
ARI,0001467760
SNMP,0001362705
EGLE,0001322439
KZIA,0001075880
BNTC,0001808898
ESGRP,0001363829
IMCG,0000913414
POL,0001810140
RPV,0001209466
EDV,None
J,0000052988
GUSH,None
TGH,0001413159
PTC,0000857005
DNP,0000806628
CIG,0001157557
DB,0001159508
ADME,0001753220
FE,0001031296
UBX,0001463361
PFFR,0001559109
FPRO,0000945908
CSIQ,0001375877
BANR,0000946673
FHLT,0001851182
QJUN,0001667919
ME,0001804591
BDL,0000012040
FSRXU,0001834336
SGIIW,0001869824
TAIL,0001529390
WY,0000106535
LFACW,0001851266
FLDZ,0001776878
RSPT,None
WEC,0000783325
ACLX,0001786205
GENI,0001834489
EL,0001001250
FAMI,0001701261
EVH,0001628908
CLAR,0000913277
HTBI,0001538263
CHEA,0001856948
GGLL,None
ALCC,0001849056
NYMTL,0001273685
GFI,0001172724
CGC,0001737927
DSP,0001828791
BEST,0001709505
LGI,0001278211
DATSW,0001648960
BWEN,0001120370
TYp,0000099614
BEPI,0001533232
VERU,0000863894
USEG,0000101594
MHO,0000799292
APYX,0000719135
QINT,0001481714
XTR,None
CTO,0000023795
SNAP,0001564408
AQU,0001861063
AL,0001487712
SAH,0001043509
GNE,0001528356
RSI,0001793659
AGMpE,0000845877
TRIS,0001852736
INMD,0001742692
AEAEU,0001852016
IBM,0000051143
QDEC,0001667919
CTLP,0000896429
SYNH,0001610950
BIZD,0001137360
CLRCR,0001903392
SSIC,0001843162
NFTG,0001895618
UPWK,0001627475
AMHpG,0001562401
NUSI,0001753220
HUT,0001731805
TRMR,0001849396
TZOO,0001133311
LH,0000920148
RDWR,0001094366
GLQ,0001316463
EATV,None
INKM,0001516212
RDCM,0001016838
HUDAR,0001853047
LDSF,0001667919
UIVM,0001547580
MGRX,0001938046
IOACW,0001854275
DAC,0001369241
WHLR,0001527541
PYLD,None
MOBVU,0001931691
GDOT,0001386278
BACpP,0000070858
SPBO,0001064642
CGUS,0001870102
MNP,0000894351
BZ,0001842827
CTRA,0000858470
FANH,0001413855
TOPS,0001296484
DOCN,0001582961
INC,0001137360
HNRG,0000788965
SYII,0001858294
BMEA,0001840439
CDROW,0001866782
HII,0001501585
DX,0000826675
ICOW,0001616668
MGRM,0001769759
AMK,0001591587
LGIH,0001580670
USBpH,0000036104
GREEL,0001844971
HTH,0001265131
NRGD,0000927971
SKIL.WS,0001774675
RILY,0001464790
TSEM,0000928876
XENE,0001582313
AMPH,0001297184
ABIO,0000907654
FEXDW,0001852407
MGEE,0001161728
LANDP,0001495240
PTPI,0001815903
COST,0000909832
KYCH,0001865701
MTZ,0000015615
FSLR,0001274494
AHTpD,0001232582
RESE,0001350487
LQDT,0001235468
MYD,0000879361
TCRX,0001783328
AQNA,0001174169
CDXS,0001200375
RATE,None
KMPR,0000860748
VERO,0001409269
APCA.U,0001862993
RFACR,0001847607
FLYW,0001580560
OXY,0000797468
PEMX,None
AHT,0001232582
HYZD,0001350487
CPK,0000019745
EBAY,0001065088
LXFR,0001096056
K,0000055067
EPOW,0001780731
CFG,0000759944
CFIVU,0001825249
ACAHW,0001836274
DJP,0000312070
CVE,0001475260
IAUF,0001524513
DBVT,0001613780
WINVW,0001854463
ULVM,0001547580
NSTD,None
GETR,0001839608
IWM,0001100663
ACACU,0001914023
RUN,0001469367
BOC,0001494582
SPAB,0001064642
BYNOW,0001801417
NSTC,None
ISDR,0000843006
EFTRW,0001828522
CZA,None
WHG,0001165002
BLFS,0000834365
SEAS,0001564902
SHPP,0001616668
SYPR,0000864240
CUBA,0000880406
IBTG,0001100663
AAN,0001821393
FULTP,0000700564
CYTHW,0000922247
BRP,0001781755
MWA,0001350593
LGMK,0001566826
GBBKR,0001894951
HEP,0001283140
ACAD,0001070494
JBSS,0000880117
HJEN,None
NSpA,0001110805
MTTR,0001819394
TDW.WS,0000098222
CDW,0001402057
DIVI,0001655589
ADX,0000002230
XMHQ,0001209466
EXEL,0000939767
PEAK,0000765880
